ID,"Напишите о себе (ваш пол, чем увлекаетесь, на каком языке пишете код, в каких областях хотели бы развиваться, какие ваши сильные стороны)",На какой IT курс ходите или хотели бы ходить? / ML,На какой IT курс ходите или хотели бы ходить? / Docker,На какой IT курс ходите или хотели бы ходить? / Backend,На какой IT курс ходите или хотели бы ходить? / Frontend,На какой IT курс ходите или хотели бы ходить? / Дизайн,На какой IT курс ходите или хотели бы ходить? / Робототехника,На какой IT курс ходите или хотели бы ходить? / Swift,На какой IT курс ходите или хотели бы ходить? / Go
1704642452,"Я мужчина. Увлекаюсь машинным обучением, программированием на c++. Также пишу код на питоне. Хочу изучить базы данных, docker  и вывод можелей в продакшн. Мои сильные стороны: ответственный, целеустремленный, добрый, честный, трудолюбивый.",ML,Docker,,,,,,
1704643455,"Мужской, разрабатываю на JS React, хотел бы развиваться в frontend, project managment, хорошо развиты soft-skills, frontend разработка",,,,Frontend,Дизайн,,,
1704643906,"Мужчина, программирование, JavaScript,Back-end,Mobile",,,Backend,,,,Swift,Go
1704680239,"Увлекаюсь хоккеем и бодибилдингом, пишу на c#, js, ts. Хотел бы развиваться в области фронтенд разработки",,,Backend,Frontend,,,,
1704707900,"Мужчина, увлекаюсь созданием информационных систем, их проектированием. Пишу на Go, сильными сторонами считаю работу в команде, проектирование системы. ",,,Backend,,,,,Go
1704712711,"Девушка, интересуюсь искусством и технологиями, программирую в основном на Python. Планирую развиваться как бэкенд-специалист. 
Сильные стороны: быстрая обучаемость
слабы стороны: эмоциональность",,Docker,Backend,,Дизайн,,,Go
1704782830,"Женский
Настольный теннис, графика, изучение китайской культуры, хакатоны
JavaScript 
Frontend-разработка, web-design, робототехника
Целеустремленность, коммуникабельность",,,,Frontend,Дизайн,Робототехника,,
1704822980,"Я транс, сперма говно дерьмо",ML,,Backend,,,,,
1704823772,"Мужчина, увлекаюсь спортом и Frontend, HTML, CSS, JS, активно изучаю VUE, планирую и дальше развиваться в разработке сайтов, если есть четкий план задачи, я могу быстро с ней справиться, даже если у меня не хватает знаний",,,Backend,Frontend,,,,
1704834779,"Мужчина, 18.
Занимаюсь фуллстак разработкой.
Стэк: NodeJS + express + PostgreSQL + React
Хотелось бы развиваться больше в сторону фронтенда, освоить больше библиотек сообщества, расти в горизонталь
Мои сильные стороны: Умение найти выход из любой ситуации, хороший навык работы в команде",,,,Frontend,Дизайн,Робототехника,,
1704880255,"Мужской, баскетбол и игры , React, Vue, JavaScript. Python, Discord app, ответственность и целеустремленность ",,,,Frontend,Дизайн,,,
1704894349,"Мужской
Дроны, музыка, хакатоны, роботы, машины
Python, C++
Хотел бы развиваться в продукт-менеджменте и ML/CV разработке",ML,Docker,,,,,,
1704957041,"Студент, второй курс
Пишу на питоне, развиваюсь в бекенде и преимущественно в мл
Быстро учусь, смотрю на вещи с творческой стороны",ML,Docker,Backend,,,,,
1704959942,"Пишу фронтенд на React, планирую изучать Vue. А вообще, хотелось бы стать млщиком",ML,Docker,Backend,,,,,
1704987727,"Женский
Увлекаюсь скранбукингом, шоппингом, рисованием
Хотела бы развиваться в 3д и дизайне
Сильные стороны — софт скиллс",,,,,Дизайн,,,
1705029161,"Пол мужской, увлекаюсь программированием, в частности бекэндом. Пишу на go и fastapi. Пока что интересно развиваться в этом направлении, в будущем хочу освоить фронтэнд",,Docker,Backend,,,,,Go
